objectid,lac17cd,lac17nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E32000001,Barnet and Camden,524459,191631,-0.204,51.60976,108114771.895044,57390.0838519372
2,E32000002,Bexley and Bromley,542298,169001,0.04432,51.402191,211330967.254224,88529.4421036545
3,E32000003,Brent and Harrow,518065,188059,-0.2975,51.579041,94251780.4018845,46516.5381133191
4,E32000004,City and East,541792,182604,0.0425,51.524551,95320798.8830481,63698.9542835306
5,E32000005,Croydon and Sutton,531404,163450,-0.1142,51.354931,130106369.798634,59637.9626246962
6,E32000006,Ealing and Hillingdon,511153,183733,-0.3985,51.541561,172388413.805845,73839.4782266523
7,E32000007,Enfield and Haringey,531691,193902,-0.0987,51.628529,113385648.265317,49988.9113299976
8,E32000008,Greenwich and Lewisham,540285,175728,0.01806,51.463139,83614769.4183112,51438.8264509437
9,E32000009,Havering and Redbridge,556114,186844,0.25066,51.558868,169080929.298924,86325.8465749777
10,E32000010,Lambeth and Southwark,532607,175723,-0.0923,51.464951,55785047.899353,36038.0251561423
11,E32000011,Merton and Wandsworth,525825,171175,-0.1915,51.425621,73203057.1030044,42662.3018325584
12,E32000012,North East,534561,186169,-0.0602,51.558361,72464697.0664783,46504.4300361866
13,E32000013,South West,515265,173653,-0.3426,51.450142,151449249.01473,70714.4437192587
14,E32000014,West Central,525810,179712,-0.1887,51.50235,50986718.3133329,32291.7706678818
